"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZ_MushroomRisottoBox_Opened_DS","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Reis, gekocht mit Pilzen, einfach und sättigend. Es ist cremig und hat einen soliden, erdigen Geschmack. Nach dem Öffnen rasch verzehren.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.",
"STR_CookZ_PilafBox_DN","Pilaf","Pilaf","Pilaf","Pilaw","Pilaf","Pilaf","Pilaf","Pilaf","Pilaf","Pilaf","Pilaf","Pilaf","Pilaf",
"STR_CookZ_PilafBox_DS","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Reis, gemischt mit Paprika und Tomaten, bietet ein zufriedenstellendes, herzhaftes Gericht, das frisch und sättigend ist.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.",
"STR_CookZ_PilafBox_Opened_DS","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty. Eat up before it spoils.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty. Eat up before it spoils.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty. Eat up before it spoils.","Reis, gemischt mit Paprika und Tomaten, bietet ein zufriedenstellendes, herzhaftes Gericht, das frisch und sättigend ist. Nach dem Öffnen rasch verzehren.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty. Eat up before it spoils.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty. Eat up before it spoils.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty. Eat up before it spoils.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty. Eat up before it spoils.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty. Eat up before it spoils.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty. Eat up before it spoils.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty. Eat up before it spoils.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty. Eat up before it spoils.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty. Eat up before it spoils.",
"STR_CookZ_GaghBox_DN","Gagh","Gagh","Gagh","Gagh","Gagh","Gagh","Gagh","Gagh","Gagh","Gagh","Gagh","Gagh","Gagh",
"STR_CookZ_GaghBox_DS","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid.","Gagh im Erdstil, aus gekochten Würmern, ein herzhaftes, würziges Gericht – seltsam, aber gut.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid.",
"STR_CookZ_GaghBox_Opened_DS","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid. Eat up before it spoils.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid. Eat up before it spoils.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid. Eat up before it spoils.","Gagh im Erdstil, aus gekochten Würmern, ein herzhaftes, würziges Gericht – seltsam, aber gut. Nach dem Öffnen rasch verzehren.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid. Eat up before it spoils.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid. Eat up before it spoils.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid. Eat up before it spoils.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid. Eat up before it spoils.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid. Eat up before it spoils.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid. Eat up before it spoils.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid. Eat up before it spoils.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid. Eat up before it spoils.","Earth-style Gagh made with cooked worms, offering a hearty, savory dish that’s strange but solid. Eat up before it spoils.",
"STR_CookZ_HaggisBox_DN","Haggis with Mashed Potatoes","Haggis with Mashed Potatoes","Haggis with Mashed Potatoes","Haggis mit Kartoffelpüree","Haggis with Mashed Potatoes","Haggis with Mashed Potatoes","Haggis with Mashed Potatoes","Haggis with Mashed Potatoes","Haggis with Mashed Potatoes","Haggis with Mashed Potatoes","Haggis with Mashed Potatoes","Haggis with Mashed Potatoes","Haggis with Mashed Potatoes",
"STR_CookZ_HaggisBox_DS","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss.","Gekochtes, gewürztes Fleisch, dazu Kartoffelpüree. Ein einfaches Gericht, das satt macht und keine großen Umstände braucht.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss.",
"STR_CookZ_HaggisBox_Opened_DS","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss. Eat up before it spoils.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss. Eat up before it spoils.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss. Eat up before it spoils.","Gekochtes, gewürztes Fleisch, dazu Kartoffelpüree. Ein einfaches Gericht, das satt macht und keine großen Umstände braucht. Nach dem Öffnen rasch verzehren.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss. Eat up before it spoils.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss. Eat up before it spoils.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss. Eat up before it spoils.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss. Eat up before it spoils.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss. Eat up before it spoils.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss. Eat up before it spoils.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss. Eat up before it spoils.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss. Eat up before it spoils.","Cooked spiced meat, paired with mashed potatoes. A straightforward meal that’ll fill you up without any fuss. Eat up before it spoils.",
"STR_CookZ_StuffedPeppersBox_DN","Stuffed Peppers","Stuffed Peppers","Stuffed Peppers","Gefüllte Paprika","Stuffed Peppers","Stuffed Peppers","Stuffed Peppers","Stuffed Peppers","Stuffed Peppers","Stuffed Peppers","Stuffed Peppers","Stuffed Peppers","Stuffed Peppers",
