"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZPlants_FlourBag_DN","Flour","Flour","Mouka","Mehl","Мука","Mąka","Farina","Harina","Farine","面粉","小麦粉","Farinha","面粉",
"STR_CookZPlants_FlourBag_DS","A bag of flour. Dry, flavorless, and about as exciting as dirt—but surprisingly versatile. In a place like this, anything with this many uses feels almost valuable. Almost.","A bag of flour. Dry, flavorless, and about as exciting as dirt—but surprisingly versatile. In a place like this, anything with this many uses feels almost valuable. Almost.","Pytel mouky. Suchá, bez chuti a zábavná asi jako hlína – ale překvapivě univerzální. V tomhle světě je všechno, co má tolik využití, skoro cenné. Skoro.","Ein Sack Mehl. Trocken, geschmacklos und so spannend wie Erde – aber überraschend vielseitig. In einer Welt wie dieser fühlt sich so etwas fast wertvoll an. Fast.","Мешок муки. Сухая, безвкусная, и по интересности как грязь — но удивительно универсальная. В таких условиях всё, что можно использовать по-разному, почти ценность. Почти.","Worek mąki. Sucha, bez smaku i mniej ekscytująca niż kurz – ale zaskakująco wszechstronna. W tym świecie wszystko, co ma tyle zastosowań, jest prawie cenne. Prawie.","Un sacco di farina. Secca, insipida e interessante quanto la polvere – ma sorprendentemente versatile. In un mondo così, qualcosa con così tanti usi è quasi prezioso. Quasi.","Una bolsa de harina. Seca, sin sabor, y tan emocionante como el polvo—pero sorprendentemente versátil. En un lugar como este, algo con tantos usos casi parece valioso. Casi.","Un sac de farine. C’est sec, fade, et à peu près aussi excitant que de la poussière – mais étonnamment polyvalent. Dans un monde comme celui-ci, tout ce qui a autant d’usages semble presque précieux. Presque.","一袋面粉。干、无味、无聊得像尘土——但用途出奇地多。在这种地方，凡是能多用几次的东西，几乎都算是珍宝了。几乎。","小麦粉の袋。乾いてて、味もなく、土みたいに面白みはない——でも意外と使い道が多い。この世界では、それだけでもちょっとした価値がある。ちょっとだけね。","Um saco de farinha. Seca, sem gosto, e tão empolgante quanto poeira — mas surpreendentemente versátil. Num lugar como este, algo com tantos usos parece quase valioso. Quase.","一袋面粉。干、无味、无聊得像尘土——但用途出奇地多。在这种地方，凡是能多用几次的东西，几乎都算是珍宝了。几乎。",
"STR_CookZPlants_Dough_DN","Dough","Dough","Těsto","Teig","Тесто","Ciasto","Impasto","Masa","Pâte","面团","生地","Massa","面团",
"STR_CookZPlants_Dough_DS","Sticky, heavy, and weirdly alive. It’s not much now, but with heat, luck, and lowered expectations, it might just become food.","Sticky, heavy, and weirdly alive. It’s not much now, but with heat, luck, and lowered expectations, it might just become food.","Lepivé, těžké a trochu jako živé. Zatím nic moc, ale s trochou tepla, štěstí a nízkými nároky se z toho možná stane jídlo.","Klebrig, schwer und irgendwie lebendig. Im Moment nicht viel – aber mit Hitze, Glück und niedrigen Erwartungen wird vielleicht etwas Essbares draus.","Липкое, тяжёлое и подозрительно живое. Пока не впечатляет — но с жаром, удачей и заниженными ожиданиями может превратиться в еду.","Lepkie, ciężkie i dziwnie żywe. Teraz nie wygląda najlepiej, ale z odrobiną ciepła, szczęścia i niskich oczekiwań — może się uda.","Appiccicoso, pesante e stranamente vivo. Al momento non è granché, ma con un po’ di calore, fortuna e aspettative basse… potrebbe diventare cibo.","Pegajosa, pesada y algo viva. Por ahora no promete mucho, pero con calor, suerte y expectativas bajas, puede que se convierta en comida.","Collante, lourde, et un peu vivante. Pour l’instant, ce n’est pas fameux – mais avec de la chaleur, un peu de chance et des attentes modestes, ça pourrait devenir mangeable.","又黏又重，还有点像活的。现在没啥看头，但加点火、点点运气，再放低点期待，也许真能吃。","ベタベタして重くて、なぜか生きてる感じがする。今はただの塊。でも、火と運と期待値の低さがあれば、食べ物になるかも。","Pegajosa, pesada e estranhamente viva. Por agora, não é grande coisa — mas com calor, sorte e expectativas baixas, pode até virar comida.","又黏又重，还有点像活的。现在没啥看头，但加点火、点点运气，再放低点期待，也许真能吃。",
"STR_CookZPlants_PierogiBox_DN","Pierogi","Pierogi","Pirohy","Pierogi","Пироги","Pierogi","Pierogi","Pierogi","Pierogi","皮罗格","ピエロギ","Pierogi","皮罗格",
"STR_CookZPlants_PierogiBox_DS","Warm, doughy, and suspiciously filling. Pierogi may not answer what’s inside them—but out here, you’re better off not asking.","Warm, doughy, and suspiciously filling. Pierogi may not answer what’s inside them—but out here, you’re better off not asking.","Teplé, těstovité a podezřele syté. Pierogi ti nepoví, co je uvnitř – ale tady venku je lepší to stejně nevědět.","Warm, teigig und überraschend sättigend. Pierogi geben keine Antwort auf ihren Inhalt – aber hier draußen ist es besser, das auch nicht zu wissen.","Тёплые, мягкие и подозрительно сытные. Что внутри пирогов — остаётся тайной. И, честно говоря, так даже лучше.","Ciepłe, miękkie i podejrzanie sycące. Co jest w środku? Lepiej nie pytać – szczególnie tutaj.","Caldi, pastosi e stranamente sazianti. I pierogi non diranno cosa c’è dentro – ma in questo mondo, meglio così.","Calientes, blandos y extrañamente saciantes. Los pierogi no explican qué llevan dentro, y en este lugar… mejor así.","Chaud, moelleux et étrangement nourrissant. Les pierogi ne disent pas ce qu'ils contiennent – et c’est peut-être mieux comme ça.","温热、软糯、意外地顶饱。至于里面是什么？在这种地方，还是别问为好。","あたたかくて、もちもちしてて、妙に満腹感がある。中身？…この世界では聞かないほうがいい。","Quente, macio e estranhamente satisfatório. Pierogi não revelam o recheio – e por aqui, é melhor assim.","温热、软糯、意外地顶饱。至于里面是什么？在这种地方，还是别问为好。",
"STR_CookZPlants_PierogiBox_Opened_DS","Warm, doughy, and suspiciously filling. Pierogi may not answer what’s inside them—but out here, you’re better off not asking. Eat up before it spoils.","Warm, doughy, and suspiciously filling. Pierogi may not answer what’s inside them—but out here, you’re better off not asking. Eat up before it spoils.","Teplé, těstovité a podezřele syté. Pierogi ti nepoví, co je uvnitř – ale tady venku je lepší to stejně nevědět. Snězte to, než se zkazí.","Warm, teigig und überraschend sättigend. Pierogi geben keine Antwort auf ihren Inhalt – aber hier draußen ist es besser, das auch nicht zu wissen. Nach dem Öffnen rasch verzehren.","Тёплые, мягкие и подозрительно сытные. Что внутри пирогов — остаётся тайной. И, честно говоря, так даже лучше. Съешьте, пока не испортилось.","Ciepłe, miękkie i podejrzanie sycące. Co jest w środku? Lepiej nie pytać – szczególnie tutaj. Zjedz, zanim się zepsuje.","Caldi, pastosi e stranamente sazianti. I pierogi non diranno cosa c’è dentro – ma in questo mondo, meglio così. Mangia prima che vada a male.","Calientes, blandos y extrañamente saciantes. Los pierogi no explican qué llevan dentro, y en este lugar… mejor así. Cómelo antes de que se estropee.","Chaud, moelleux et étrangement nourrissant. Les pierogi ne disent pas ce qu'ils contiennent – et c’est peut-être mieux comme ça. Mangez avant que cela ne soit périmé.","温热、软糯、意外地顶饱。至于里面是什么？在这种地方，还是别问为好。 在变质之前吃掉。","あたたかくて、もちもちしてて、妙に満腹感がある。中身？…この世界では聞かないほうがいい。 腐る前に食べてください。","Quente, macio e estranhamente satisfatório. Pierogi não revelam o recheio – e por aqui, é melhor assim. Coma antes que estrague.","温热、软糯、意外地顶饱。至于里面是什么？在这种地方，还是别问为好。 在变质之前吃掉。",
"STR_CookZPlants_CookingPlants","Wheat-Based Recipes","Wheat-Based Recipes","Recepty z pšenice","Weizen-Rezepte","Рецепты из пшеницы","Przepisy z pszenicy","Ricette a base di grano","Recetas con trigo","Recettes à base de blé","小麦料理","小麦を使ったレシピ","Receitas com trigo","小麦料理",
"STR_CookZPlants_CookingInstructions","Find <b>wheat seeds</b> and plant them to harvest <b>wheat ears</b>. Craft a <b>mortar and pestle</b> from a <b>large stone</b> using a <b>hammer</b>. Use the mortar and pestle to grind the <b>wheat ears</b> into <b>flour</b>. Knead <b>flour</b> and <b>water</b> into <b>dough</b> and use it in recipes.","Find <b>wheat seeds</b> and plant them to harvest <b>wheat ears</b>. Craft a <b>mortar and pestle</b> from a <b>large stone</b> using a <b>hammer</b>. Use the mortar and pestle to grind the <b>wheat ears</b> into <b>flour</b>. Knead <b>flour</b> and <b>water</b> into <b>dough</b> and use it in recipes.","Najdi <b>pšeničná semena</b> a zasaď je, abys sklidil <b>pšeničné klasy</b>. Vyrob <b>hmoždíř a tlouk</b> z <b>velkého kamene</b> pomocí <b>kladiva</b>. Rozemel <b>pšeničné klasy</b> na <b>mouku</b>. Z <b>mouky</b> a <b>vody</b> uhněť <b>těsto</b> a použij ho v receptech.","Finde <b>Weizensamen</b> und pflanze sie, um <b>Weizenähren</b> zu ernten. Stelle einen <b>Mörser und Stößel</b> aus einem <b>großen Stein</b> mit einem <b>Hammer</b> her. Zermahle die <b>Weizenähren</b> zu <b>Mehl</b>. Verknete <b>Mehl</b> mit <b>Wasser</b> zu <b>Teig</b> und verwende ihn in Rezepten.","Найди <b>семена пшеницы</b> и посей их, чтобы получить <b>колосья пшеницы</b>. Создай <b>ступку с пестиком</b> из <b>большого камня</b> с помощью <b>молота</b>. Измельчи <b>колосья</b> в <b>муку</b>. Замеси <b>муку</b> с <b>водой</b> в <b>тесто</b> и используй его в рецептах.","Znajdź <b>nasiona pszenicy</b> i posadź je, aby zebrać <b>kłosy pszenicy</b>. Wykonaj <b>moździerz z tłuczkiem</b> z <b>dużego kamienia</b> za pomocą <b>młotka</b>. Zmiel <b>kłosy</b> na <b>mąkę</b>. Zagnieć <b>mąkę</b> z <b>wodą</b> w <b>ciasto</b> i użyj w przepisach.","Trova <b>semi di grano</b> e piantali per raccogliere <b>spighe di grano</b>. Crea un <b>mortaio con pestello</b> da una <b>grossa pietra</b> usando un <b>martello</b>. Usa il mortaio per macinare le <b>spighe</b> in <b>farina</b>. Impasta <b>farina</b> e <b>acqua</b> per ottenere <b>impasto</b> e usalo nelle ricette.","Encuentra <b>semillas de trigo</b> y plántalas para cosechar <b>espigas de trigo</b>. Fabrica un <b>mortero con mano</b> con una <b>piedra grande</b> usando un <b>martillo</b>. Usa el mortero para moler las <b>espigas</b> en <b>harina</b>. Amasa <b>harina</b> y <b>agua</b> para hacer <b>masa</b> y úsala en recetas.","Trouve des <b>graines de blé</b> et plante-les pour récolter des <b>épis de blé</b>. Fabrique un <b>mortier avec pilon</b> à partir d’une <b>grosse pierre</b> avec un <b>marteau</b>. Utilise-le pour moudre les <b>épis</b> en <b>farine</b>. Pétris <b>farine</b> et <b>eau</b> en <b>pâte</b> et utilise-la dans les recettes.","找到 <b>小麦种子</b> 并将其种下以收获 <b>小麦穗</b>。使用 <b>锤子</b> 敲打 <b>大石头</b> 制作 <b>研钵和研杵</b>。用它将 <b>小麦穗</b> 磨成 <b>面粉</b>。将 <b>面粉</b> 与 <b>水</b> 揉成 <b>面团</b>，然后用于食谱中。","<b>小麦の種</b> を見つけて植え、<b>小麦の穂</b> を収穫する。<b>大きな石</b> を <b>ハンマー</b> で使って <b>すり鉢とすりこぎ</b> を作る。<b>小麦の穂</b> を <b>小麦粉</b> に粉砕し、<b>小麦粉</b> と <b>水</b> をこねて <b>生地</b> を作り、レシピに使う。","Encontre <b>sementes de trigo</b> e plante para colher <b>espigas de trigo</b>. Crie um <b>pilão com almofariz</b> a partir de uma <b>pedra grande</b> usando um <b>martelo</b>. Use-o para moer as <b>espigas</b> em <b>farinha</b>. Amasse <b>farinha</b> com <b>água</b> para formar <b>massa</b> e use-a em receitas.","找到 <b>小麦种子</b> 并将其种下以收获 <b>小麦穗</b>。使用 <b>锤子</b> 敲打 <b>大石头</b> 制作 <b>研钵和研杵</b>，将 <b>小麦穗</b> 磨成 <b>面粉</b>。将 <b>面粉</b> 与 <b>水</b> 揉成 <b>面团</b>，然后用于食谱中。",
"STR_CookZPlants_Dishes","Dishes","Dishes","Jídla","Gerichte","Блюда","Dania","Piatti","Platos","Plats","菜肴","料理","Pratos","菜肴",
"STR_CookZPlants_UseMortarAndPestle","Grind","Grind","Rozemel","Mahle","Измельчи","Zmień","Maci­na","Muele","Broie","研磨","すりつぶせ","Moer","研磨",
"STR_CookZPlants_KneadDough","Knead Dough","Knead Dough","Uhněť těsto","Knete Teig","Замеси тесто","Zagnieć ciasto","Impasta","Amasa","Pétris la pâte","揉面团","生地をこねろ","Sova a massa","揉面团",
